PCA1,PCA2,x_new,y_new,hdbscan_cluster,dbscan_pca,dbscan_tsne_cosine,dbscan_tsne_euclidean,dbscan_tsne_manhattan,dbscan_umap_cosine,dbscan_umap_euclidean,dbscan_umap_manhattan,kmeans_pca,kmeans_tsne_cosine,kmeans_tsne_euclidean,kmeans_tsne_manhattan,kmeans_umap_cosine,kmeans_umap_euclidean,kmeans_umap_manhattan,TSNE1_cosine,TSNE1_euclidean,TSNE1_manhattan,TSNE2_cosine,TSNE2_euclidean,TSNE2_manhattan,UMAP1_cosine,UMAP1_euclidean,UMAP1_manhattan,UMAP2_cosine,UMAP2_euclidean,UMAP2_manhattan,sentiment_processed_comment,vader_neg,vader_neu,vader_pos,vader_compound,transformer_label,transformer_score,valencia,arousal,interpretacion,bert_result,roberta_result,distilbert_result,albert_result,Comment,processed_comment,headline,section,keywords
6.2944107,-2.1752145,14.384265,8.706387,-1,17,-1,-1,-1,0,0,0,0,0,2,0,0,0,0,24.195126,-6.21341,-44.457073,-43.84147,20.067701,14.095117,6.5615616,11.015991,4.0938435,6.5848646,6.3527617,7.359916,0.872,0.0,0.568,0.432,0.872,1 star,0.6108965277671814,0.872,0.432,Sentimiento positivo y emocionado,Muy negativo,Neutral,Negativo,Positivo,"It's all politics. Trump needs wins to point to. Johnson just handed him one in appearance only. Profits, not politics, will determine who does or doesn't utilize 5G tech from China.",politic trump need win point johnson hand one appearance profit politic determine utilize g tech china,U.K. Bars Huawei for 5G as Tech Battle Between China and the West Escalates,Business Day,No topic assigned
-1.2328055,1.5059085,13.03142,5.5724506,2,1,-1,-1,-1,1,0,1,2,2,0,0,1,2,0,5.876154,-36.402367,-14.792447,0.8153101,10.870654,0.6936981,4.3408947,12.153845,2.0127468,6.2639,4.1171255,6.9732456,-0.6486,0.406,0.457,0.137,-0.6486,1 star,0.3525618612766266,-0.6486,-0.269,Sentimiento negativo y calmado,Muy negativo,Neutral,Negativo,Positivo,"The prosecutor puts it on the victim to clean up the mess of his now being in a criminal database. That responsibility should fall on the state, and be done ASAP.",prosecutor put victim clean mess criminal database responsibility fall state do soon possible,Wrongfully Accused by an Algorithm,Technology,7_justice_report_robert_lawyer
-5.794969,2.1049745,14.400795,6.1528945,5,-1,-1,-1,-1,2,0,0,1,2,0,1,1,1,2,43.491615,2.424115,12.736714,23.130634,-38.906593,-52.348,2.3929522,7.1439247,7.1743307,8.0854435,6.4918113,6.0133896,0.6908,0.0,0.621,0.379,0.6908,1 star,0.3826965391635895,0.6908,0.379,Sentimiento positivo y emocionado,Muy negativo,Neutral,Negativo,Negativo,Somebody please share a dvd of Mississippi Burning with Ms Stewart. I joined in many biracial marches for civil rights in the 60s and 70s.,somebody please share dvd mississippi burn ms stewart join many biracial marche civil right,Black Activists Wonder: Is Protesting Just Trendy for White People?,New York,1_slave_right_slavery_native
-5.0535774,-4.4692664,11.94357,8.176908,6,-1,-1,-1,-1,1,0,0,1,1,1,2,2,1,1,-59.03947,49.52881,-0.46044788,12.173758,22.352892,78.98079,2.9769156,9.442463,3.2898173,4.033466,2.5404332,3.5624845,0.0,0.0,1.0,0.0,0.0,4 stars,0.38309696316719055,0.0,0.0,Sentimiento neutro.,Positivo,Neutral,Negativo,Positivo,"Just made #I last night, except I  grate the carrot finely and add chopped basil and butter in the last five minutes.",make last night except grate carrot finely add chop basil butter last five minute,Marcella Hazan’s Tomato Sauce Trilogy,Food,0_thank_eat_last_puzzle
2.179766,-2.8663588,14.510738,8.045192,-1,-1,-1,-1,-1,0,0,0,0,0,2,0,0,0,2,3.1266043,-24.565546,-25.514143,-63.147015,41.921486,-25.94628,7.6929765,9.804876,4.8139343,6.0990853,6.3448086,6.8098807,0.2944,0.191,0.522,0.287,0.2944,1 star,0.6877202987670898,0.2944,0.09599999999999997,Sentimiento positivo y emocionado,Muy negativo,Neutral,Positivo,Positivo,"That's absolutely gorgeous! Really....I'm taken aback by how precisely Felipe Neto describes it all! Pure tragedy! Please, do not reelect Donald Trump!",absolutely gorgeous reallyi take aback precisely felipe neto describe pure tragedy please reelect donald trump,Trump Isn’t the Worst Pandemic President,Opinion,No topic assigned
4.702754,0.79276335,15.234187,8.985939,14,0,-1,-1,-1,1,0,0,0,1,1,2,2,1,1,-37.23804,33.115158,-6.1839027,13.390188,-33.277245,35.105427,3.3863404,8.43942,3.893129,3.193589,4.8431954,4.945427,0.0772,0.0,0.86,0.14,0.0772,5 stars,0.5586188435554504,0.0772,0.14,Sentimiento positivo y emocionado,Muy positivo,Negativo,Negativo,Positivo,DeVos was hired specifically to gut public education. She's doing doing exactly what trump/republicans want her to do.,devos hire specifically gut public education exactly trumprepublicans want,What Is Betsy DeVos Thinking?,Opinion,11_child_family_trump_want
5.1183214,2.507525,14.947581,7.5196013,-1,-1,-1,-1,-1,2,0,0,0,0,0,0,0,0,2,30.10841,-35.38202,-22.67182,-28.73986,-23.40694,10.962845,7.529894,11.381542,4.9938645,8.362024,7.002359,7.5448885,0.802,0.217,0.35,0.434,0.802,1 star,0.5192711353302002,0.802,0.217,Sentimiento positivo y emocionado,Muy negativo,Negativo,Negativo,Negativo,For a guy like trump who is always screaming to his base about freedom of speech he certainly has been trying hard to restrain the free speech of his critics. But I guess that is what dictators do.,guy like trump always scream base freedom speech certainly try hard restrain free speech critic guess dictator,Trump Family Asks Court to Stop Publication of Tell-All by President’s Niece,U.S.,No topic assigned
5.095157,0.3121771,14.6938305,7.1769204,-1,0,-1,-1,-1,2,0,0,0,2,0,2,0,0,2,57.693794,-18.857689,7.7945976,-1.2648143,1.4777163,9.666336,6.929256,10.383249,5.0422688,7.660843,7.077059,6.813041,0.2732,0.0,0.87,0.13,0.2732,5 stars,0.4327787756919861,0.2732,0.13,Sentimiento positivo y emocionado,Muy positivo,Neutral,Positivo,Negativo,"In other words, this president continues the expansion of presidential powers. This is a familiar theme and should not surprise anyone who has been following politics for the past forty years.",word president continue expansion presidential power familiar theme surprise anyone follow politic past forty year,Seizing the Presidency to Suit His Own Needs,U.S.,No topic assigned
4.806818,0.5996554,14.816701,8.452986,13,0,-1,-1,-1,2,0,0,0,2,0,0,0,0,2,17.353346,-48.976177,-68.83072,-6.063578,-42.97646,-3.1970437,6.8954434,11.512423,5.9830203,8.415706,7.6513634,7.5299344,0.4019,0.139,0.618,0.243,0.4019,1 star,0.7207126021385193,0.4019,0.10399999999999998,Sentimiento positivo y emocionado,Muy negativo,Negativo,Negativo,Negativo,Yet Trump pardons the Oregon ranchers who invaded and held a National refuge. With weapons. Who seemed entitled to not pay grazing fees. I see us heading straight into a Gilead dystopia.,yet trump pardon oregon rancher invade hold national refuge weapon seem entitled pay grazing fee see we head straight gilead dystopia,Federal Agents Unleash Militarized Crackdown on Portland,U.S.,8_trump_putin_we_loud
-2.326328,-5.121594,13.111288,7.8669577,-1,-1,-1,-1,-1,1,0,1,1,1,1,0,2,0,0,-17.937761,78.33229,-46.669064,46.633907,25.831453,-21.699476,2.171483,8.798048,2.598947,6.1949477,6.7650466,7.2427998,0.8126,0.0,0.588,0.412,0.8126,1 star,0.4985084533691406,0.8126,0.412,Sentimiento positivo y emocionado,Muy negativo,Neutral,Negativo,Negativo,"Is it possible that we might actually be ready to awaken from this long national nightmare and I can happily return to the country of my birth? Please say it’s so, Joe!",possible might actually ready awaken long national nightmare happily return country birth please say joe,Biden Takes Dominant Lead as Voters Reject Trump on Virus and Race,U.S.,No topic assigned
2.6505866,4.3558645,13.4151745,7.044571,-1,-1,-1,-1,-1,2,0,0,2,2,0,1,0,0,2,18.678833,-14.151103,-4.9022098,32.408367,-18.377598,-53.015305,6.3398147,11.548274,5.671145,8.075588,7.9921937,7.443641,0.6597,0.0,0.565,0.435,0.6597,1 star,0.7861028909683228,0.6597,0.435,Sentimiento positivo y emocionado,Muy negativo,Neutral,Negativo,Positivo,“Heritable” political orientation. This seems impossible to prove and definitely doesn’t help anyone.,heritable political orientation seem impossible prove definitely help anyone,How Could Human Nature Have Become This Politicized?,Opinion,No topic assigned
4.2485466,0.85072464,15.072541,8.036151,-1,0,-1,-1,-1,0,0,0,0,0,1,1,0,1,0,-23.361614,13.460423,32.08895,-44.206074,-14.22065,-3.8398957,5.6558323,9.791248,3.7974038,5.862891,5.5772824,6.887678,0.4215,0.168,0.597,0.235,0.4215,1 star,0.6994328498840332,0.4215,0.06699999999999998,Sentimiento positivo y emocionado,Muy negativo,Negativo,Negativo,Negativo,The same people denying climate change told use Covid-19 was a Democrat/media hoax that would go away in April - like a miracle. They all need to be voted away in a November landslide.,people deny climate change tell use covid democratmedia hoax would go away april like miracle need vote away november landslide,"A War Against Climate Science, Waged by Washington’s Rank and File",Climate,No topic assigned
1.7707623,-1.5952555,13.857802,7.9294524,-1,19,-1,-1,-1,0,0,0,0,0,1,2,0,0,1,-11.091899,72.93427,-27.918472,-10.226413,11.5505905,31.724903,7.6086516,8.181382,5.7275825,4.095237,6.948797,4.5111947,-0.6705,0.442,0.326,0.233,-0.6705,1 star,0.38934198021888733,-0.6705,-0.209,Sentimiento negativo y calmado,Muy negativo,Negativo,Positivo,Positivo,Thank you Senator Duckworth for your articulate piece.  And thank you for speaking out against two bullies who are both an embarrassment and a danger to our country.,thank senator duckworth articulate piece thank speak two bully embarrassment danger country,Tammy Duckworth: Tucker Carlson Doesn’t Know What Patriotism Is,Opinion,No topic assigned
